,,"Demographic Information, Households and Race/Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,Children in Poverty < 18,,,,,,,,,,,,,,,,,,,Teen Pregnancy,,,Substance Abuse Treatment,,,,,Child Abuse and Neglect Related Fatalities (2010-2014),,,Substantiated < 18 (2010-2014),,,Rankings - Larger Numbers Indicate Higher Risk (1=lowest risk),,,,,,,
ZCTA,County Name,Corresponding Counties,Total Population (2010-2014),2010 Child Population (under 18),2011 Child Population (under 18),2012 Child Population (under 18),2013 Child Population (under 18),2014 Child Population (under 18),Child Population (under 18) 5yr,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Family Households 5yr,Female-headed Household with Child 5yr,Total Estimated Child Population < 18yrs,Children in Poverty (under 18) 5yr,Average of Child Poverty (under 18) 5yr,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Teen Birth and Married ,No Teen Birth and Married,Teen Birth and Unmarried (15-19yrs),No Teen Birth and Unmarried,Number of Teen Births (15-19yrs); 2008-2012 American Community Survey,Total Female Population (15-19yrs); 2008-2012 American Community Survey,Average Teen Birth(15-19yrs); 2008-2012 American Community Survey,Unique Clients Admitted for Substance Abuse Treatment (*=suppressed),Number of state funded substance abuse service types utilized by individuals,Drug- Related Offenses,Domestic Violence Offenses,Average Substance Abuse Treatment; 2008-2012 American Community Survey,Child Abuse and Neglect Fatalities 5yr,Aggregated Child Population Estimate (2010 - 2014),Average Child Abuse and Neglect Related Fatalities < 18yrs,Total Number of Substantiated Cases (under 18) ,2010 - 2014 Aggregated Child Population Estimate (under 18) ,Average Number of Substantiated Cases (under 18),Poverty Ranking for Children (under 18) 5yr,Teen Births (15-19) 5yr,Substance Abuse Rating,Child Abuse and Neglect Fatalities 5yr,Substantiated Abuse Rating  (under 18),Mean of Overall Risk Rankings,Overall Risk Ranking
75831,Leon County,Freestone County;Leon County,6119,1299,1732,1647,1565,1575,1564,4884,4360,423,39,3,0,0,59,1036,547,0,0,0,0,489,0,1983,146,1575,299,18.98%,37,9,31,30,2,27,41,18,79,13,0,12,0,15,22,249,41,286,7.69%,*,1,N/A,N/A,3.85%,0,1564,0.00%,63,1564,4.03%,820,1314,467,1,834,687.2,958
75832,Anderson County,Anderson County,48,19,0,0,0,0,4,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,N/A,0,0,N/A,N/A,0.00%,0,4,0.00%,0,4,0.00%,N/A,N/A,1,1,1,1,1
75833,Leon County,Leon County,3720,679,473,549,641,768,622,3137,2826,242,10,25,0,5,29,255,239,0,0,0,0,16,0,1395,36,768,149,19.40%,16,0,5,35,10,17,16,0,5,44,0,1,0,0,0,69,1,69,0.00%,*,3,N/A,N/A,11.54%,0,622,0.00%,34,622,5.47%,839,1,824,1,1168,566.6,712
75835,Houston County,Houston County,11152,2785,2704,2530,2420,2345,2557,10149,5989,4070,0,5,0,15,70,1365,633,24,4,0,0,699,5,4343,383,2345,967,41.24%,159,20,92,137,4,29,164,0,198,84,23,57,0,0,5,434,0,439,1.14%,*,5,N/A,N/A,19.23%,1,2557,0.04%,190,2557,7.43%,1550,901,1090,1736,1521,1359.6,1762
75838,Freestone County,Freestone County;Limestone County,624,153,0,120,136,91,100,624,583,41,0,0,0,0,0,47,0,0,0,0,0,47,0,303,0,91,14,15.38%,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,*,1,N/A,N/A,3.85%,0,100,0.00%,10,100,10.00%,677,N/A,467,1,1713,714.5,999
75838,Limestone County,Freestone County;Limestone County,624,153,0,120,136,91,100,624,583,41,0,0,0,0,0,47,0,0,0,0,0,47,0,303,0,91,14,15.38%,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,*,1,N/A,N/A,3.85%,0,100,0.00%,10,100,10.00%,677,N/A,467,1,1713,714.5,999
75839,Anderson County,Anderson County;Houston County,5081,1331,1449,1420,1232,1225,1331,4845,4294,384,60,6,5,0,96,359,260,9,57,0,0,22,11,1843,180,1225,146,11.92%,6,3,9,53,0,0,4,0,40,1,4,26,0,0,0,260,18,260,0.00%,*,3,N/A,N/A,11.54%,0,1331,0.00%,134,1331,10.06%,538,1,824,1,1715,615.8,796
75839,Houston County,Anderson County;Houston County,5081,1331,1449,1420,1232,1225,1331,4845,4294,384,60,6,5,0,96,359,260,9,57,0,0,22,11,1843,180,1225,146,11.92%,6,3,9,53,0,0,4,0,40,1,4,26,0,0,0,260,18,260,0.00%,*,3,N/A,N/A,11.54%,0,1331,0.00%,134,1331,10.06%,538,1,824,1,1715,615.8,796
75840,Freestone County,Freestone County,7061,1868,1660,1633,1777,1739,1735,6114,4805,1169,57,18,0,0,65,997,893,8,22,0,0,69,5,2808,221,1739,419,24.09%,76,4,159,11,4,9,60,0,65,10,0,21,0,0,0,127,17,127,0.00%,*,4,N/A,N/A,15.38%,0,1735,0.00%,85,1735,4.90%,1035,1,952,1,1056,609,786
75844,Anderson County,Anderson County;Houston County,6350,1211,1315,1205,1214,1366,1262,5775,5091,606,6,15,0,0,57,391,192,0,0,0,0,199,0,2333,72,1366,370,27.09%,61,0,27,55,9,0,30,14,138,18,9,9,0,0,0,146,0,146,0.00%,*,3,N/A,N/A,11.54%,0,1262,0.00%,58,1262,4.60%,1166,1,824,1,981,594.6,764
75844,Houston County,Anderson County;Houston County,6350,1211,1315,1205,1214,1366,1262,5775,5091,606,6,15,0,0,57,391,192,0,0,0,0,199,0,2333,72,1366,370,27.09%,61,0,27,55,9,0,30,14,138,18,9,9,0,0,0,146,0,146,0.00%,*,3,N/A,N/A,11.54%,0,1262,0.00%,58,1262,4.60%,1166,1,824,1,981,594.6,764
75845,Trinity County,Trinity County,4656,780,1217,1473,1348,1430,1250,4060,3489,562,3,6,0,0,0,426,408,6,0,0,0,12,0,1258,68,1430,346,24.20%,48,0,86,63,0,16,58,0,38,0,16,21,0,0,112,322,35,434,25.81%,*,6,N/A,N/A,23.08%,0,1250,0.00%,53,1250,4.24%,1038,1564,1209,1,891,940.6,1316
75846,Leon County,Leon County;Limestone County,2777,671,627,772,760,687,703,2173,2061,77,0,0,0,8,27,765,418,0,0,0,0,345,2,1062,99,687,198,28.82%,74,4,4,0,16,33,11,0,3,28,0,25,13,4,0,49,42,66,19.70%,*,3,N/A,N/A,11.54%,0,703,0.00%,25,703,3.55%,1227,1538,824,1,695,857,1202
75846,Limestone County,Leon County;Limestone County,2777,671,627,772,760,687,703,2173,2061,77,0,0,0,8,27,765,418,0,0,0,0,345,2,1062,99,687,198,28.82%,74,4,4,0,16,33,11,0,3,28,0,25,13,4,0,49,42,66,19.70%,*,3,N/A,N/A,11.54%,0,703,0.00%,25,703,3.55%,1227,1538,824,1,695,857,1202
75847,Houston County,Houston County;Trinity County,2027,413,416,476,496,625,485,1884,1596,267,0,0,0,0,21,64,8,0,0,0,0,56,0,675,39,625,184,29.44%,3,0,34,0,0,15,3,0,59,38,16,16,0,0,0,48,0,48,0.00%,0,0,N/A,N/A,0.00%,0,485,0.00%,12,485,2.47%,1252,1,1,1,436,338.2,331
75847,Trinity County,Houston County;Trinity County,2027,413,416,476,496,625,485,1884,1596,267,0,0,0,0,21,64,8,0,0,0,0,56,0,675,39,625,184,29.44%,3,0,34,0,0,15,3,0,59,38,16,16,0,0,0,48,0,48,0.00%,0,0,N/A,N/A,0.00%,0,485,0.00%,12,485,2.47%,1252,1,1,1,436,338.2,331
75848,Freestone County,Freestone County,108,22,23,17,17,16,19,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,16,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,40,11,0.00%,*,1,N/A,N/A,3.85%,0,19,0.00%,1,19,5.26%,1,1,467,1,1120,318,298
75849,Houston County,Houston County,119,20,69,38,21,16,33,191,191,0,0,0,0,0,0,9,1,0,0,0,0,8,0,57,7,16,10,62.50%,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0.00%,0,0,N/A,N/A,0.00%,0,33,0.00%,9,33,27.44%,1787,1,1,1,1879,733.8,1032
75850,Leon County,Leon County,657,129,138,89,168,163,137,691,389,302,0,0,0,0,0,0,0,0,0,0,0,0,0,220,13,163,6,3.68%,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,46,0,46,0.00%,0,0,N/A,N/A,0.00%,0,137,0.00%,3,137,2.18%,225,1,1,1,376,120.8,128
75851,Houston County,Houston County;Trinity County,4541,630,538,599,561,417,549,3977,2664,1234,0,13,0,0,66,552,501,0,0,0,0,41,10,926,68,417,99,23.74%,11,4,20,15,0,12,8,0,0,0,0,29,0,0,5,22,92,27,18.52%,0,0,N/A,N/A,0.00%,0,549,0.00%,9,549,1.64%,1016,1529,1,1,283,566,709
75851,Trinity County,Houston County;Trinity County,4541,630,538,599,561,417,549,3977,2664,1234,0,13,0,0,66,552,501,0,0,0,0,41,10,926,68,417,99,23.74%,11,4,20,15,0,12,8,0,0,0,0,29,0,0,5,22,92,27,18.52%,0,0,N/A,N/A,0.00%,0,549,0.00%,9,549,1.64%,1016,1529,1,1,283,566,709
75852,Madison County,Madison County;Walker County,5053,294,306,282,368,342,318,3416,1842,1452,8,8,0,0,106,1357,1213,16,0,0,0,90,38,552,16,342,74,21.64%,7,0,10,0,7,17,12,0,3,18,0,0,0,0,0,45,18,45,0.00%,*,1,N/A,N/A,3.85%,0,318,0.00%,25,318,7.85%,931,1,467,1,1559,591.8,755
75852,Walker County,Madison County;Walker County,5053,294,306,282,368,342,318,3416,1842,1452,8,8,0,0,106,1357,1213,16,0,0,0,90,38,552,16,342,74,21.64%,7,0,10,0,7,17,12,0,3,18,0,0,0,0,0,45,18,45,0.00%,*,1,N/A,N/A,3.85%,0,318,0.00%,25,318,7.85%,931,1,467,1,1559,591.8,755
75853,Anderson County,Anderson County,1264,211,302,227,305,309,271,974,890,77,0,0,0,0,7,262,254,0,0,0,0,8,0,422,28,309,168,54.37%,33,0,0,40,0,0,0,10,20,40,13,12,0,0,0,60,20,60,0.00%,0,0,N/A,N/A,0.00%,0,271,0.00%,6,271,2.22%,1735,1,1,1,382,424,459
75855,Freestone County,Freestone County;Leon County,2316,449,686,498,400,542,515,2201,1417,745,25,1,0,0,13,107,64,6,2,0,0,17,18,980,18,542,314,57.93%,51,49,11,20,13,24,53,1,24,60,8,0,0,0,0,45,0,45,0.00%,*,1,N/A,N/A,3.85%,0,515,0.00%,24,515,4.66%,1762,1,467,1,997,645.6,872
75855,Leon County,Freestone County;Leon County,2316,449,686,498,400,542,515,2201,1417,745,25,1,0,0,13,107,64,6,2,0,0,17,18,980,18,542,314,57.93%,51,49,11,20,13,24,53,1,24,60,8,0,0,0,0,45,0,45,0.00%,*,1,N/A,N/A,3.85%,0,515,0.00%,24,515,4.66%,1762,1,467,1,997,645.6,872
75856,Houston County,Houston County;Trinity County,115,39,0,0,0,0,8,194,177,17,0,0,0,0,0,27,27,0,0,0,0,0,0,126,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,8,0.00%,0,8,0.00%,N/A,N/A,1,1,1,1,1
75856,Trinity County,Houston County;Trinity County,115,39,0,0,0,0,8,194,177,17,0,0,0,0,0,27,27,0,0,0,0,0,0,126,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,8,0.00%,0,8,0.00%,N/A,N/A,1,1,1,1,1
75858,Houston County,Houston County,51,7,0,0,0,0,1,38,10,14,0,0,0,0,14,13,13,0,0,0,0,0,0,38,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,1,0.00%,1,1,71.43%,N/A,N/A,1,1,1900,634,842
75859,Freestone County,Freestone County;Navarro County,2078,323,404,680,535,539,496,1782,1488,265,0,12,0,0,17,358,358,0,0,0,0,0,0,852,27,539,188,34.88%,38,0,0,1,0,1,41,51,8,2,46,0,0,0,0,154,0,154,0.00%,0,0,N/A,N/A,0.00%,0,496,0.00%,3,496,0.60%,1395,1,1,1,159,311.4,289
75859,Navarro County,Freestone County;Navarro County,2078,323,404,680,535,539,496,1782,1488,265,0,12,0,0,17,358,358,0,0,0,0,0,0,852,27,539,188,34.88%,38,0,0,1,0,1,41,51,8,2,46,0,0,0,0,154,0,154,0.00%,0,0,N/A,N/A,0.00%,0,496,0.00%,3,496,0.60%,1395,1,1,1,159,311.4,289
75860,Freestone County,Freestone County,6229,1443,1323,1267,1235,1207,1295,4970,3974,937,16,0,0,0,43,1172,790,69,64,0,0,241,8,1907,204,1207,244,20.22%,36,16,8,40,24,14,43,29,9,25,0,0,0,0,21,157,1,178,11.80%,*,3,N/A,N/A,11.54%,0,1295,0.00%,48,1295,3.71%,877,1450,824,1,731,776.6,1087
75861,Anderson County,Anderson County,7120,419,472,502,467,411,454,4913,2477,2337,0,37,44,0,18,1206,1110,5,7,0,0,76,8,638,55,411,41,9.98%,0,0,15,0,0,0,26,0,0,0,0,0,0,0,10,39,0,49,20.41%,*,3,N/A,N/A,11.54%,0,454,0.00%,25,454,5.50%,458,1544,824,1,1175,800.4,1133
75862,Trinity County,Trinity County;Walker County,8439,2022,1672,1439,1464,1202,1560,7923,7061,766,20,11,0,0,65,629,583,0,0,0,0,46,0,3261,83,1202,324,26.96%,28,19,77,31,0,19,25,7,45,66,7,0,60,0,0,226,0,286,20.98%,14,6,N/A,N/A,23.08%,1,1560,0.06%,166,1560,10.64%,1157,1548,1209,1807,1737,1491.6,1866
75862,Walker County,Trinity County;Walker County,8439,2022,1672,1439,1464,1202,1560,7923,7061,766,20,11,0,0,65,629,583,0,0,0,0,46,0,3261,83,1202,324,26.96%,28,19,77,31,0,19,25,7,45,66,7,0,60,0,0,226,0,286,20.98%,14,6,N/A,N/A,23.08%,1,1560,0.06%,166,1560,10.64%,1157,1548,1209,1807,1737,1491.6,1866
75901,Angelina County,Angelina County,30494,7800,7764,7645,7996,8410,7923,21750,16319,4327,36,755,0,62,251,8097,5976,123,103,0,0,1586,309,10201,781,8410,2956,35.15%,478,138,568,235,25,145,475,54,456,258,29,95,0,0,33,798,10,831,3.97%,66,13,N/A,N/A,50.00%,1,7923,0.01%,426,7923,5.38%,1403,1102,1764,1381,1148,1359.6,1762
75904,Angelina County,Angelina County;Trinity County,33150,9354,9621,9305,9276,8645,9240,28461,21005,6886,96,38,0,0,436,5363,3997,198,140,0,0,879,149,12589,1566,8645,2306,26.67%,269,127,463,83,58,20,345,76,410,286,49,120,93,27,41,1160,75,1321,10.14%,65,11,N/A,N/A,42.31%,4,9240,0.04%,512,9240,5.54%,1142,1409,1648,1736,1183,1423.6,1825
75904,Trinity County,Angelina County;Trinity County,33150,9354,9621,9305,9276,8645,9240,28461,21005,6886,96,38,0,0,436,5363,3997,198,140,0,0,879,149,12589,1566,8645,2306,26.67%,269,127,463,83,58,20,345,76,410,286,49,120,93,27,41,1160,75,1321,10.14%,65,11,N/A,N/A,42.31%,4,9240,0.04%,512,9240,5.54%,1142,1409,1648,1736,1183,1423.6,1825
75925,Cherokee County,Cherokee County,4261,1074,1106,1121,1056,1041,1080,4258,2899,1097,7,38,0,11,206,191,191,0,0,0,0,0,0,1740,152,1041,312,29.97%,32,27,27,30,0,23,30,22,49,65,0,7,0,3,8,206,0,217,3.69%,*,3,N/A,N/A,11.54%,0,1080,0.00%,40,1080,3.71%,1266,1086,824,1,731,781.6,1097
75926,Trinity County,Trinity County,1157,202,309,259,187,195,230,1016,812,197,7,0,0,0,0,120,111,0,0,0,0,0,9,446,12,195,40,20.51%,0,0,15,0,0,0,10,0,0,0,0,15,0,0,0,60,0,60,0.00%,0,0,N/A,N/A,0.00%,0,230,0.00%,6,230,2.60%,888,1,1,1,466,271.4,241
75928,Newton County,Newton County,1005,382,194,210,175,115,215,1038,600,438,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,115,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0.00%,0,0,N/A,N/A,0.00%,0,215,0.00%,8,215,3.72%,1,1,1,1,736,148,144
75929,San Augustine County,San Augustine County,1803,262,250,221,234,216,237,1575,1562,1,0,0,0,0,12,55,55,0,0,0,0,0,0,735,4,216,10,4.63%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,27,95,0,122,22.13%,*,4,N/A,N/A,15.38%,0,237,0.00%,20,237,8.45%,257,1549,952,1,1612,874.2,1233
75930,Sabine County,Sabine County;San Augustine County,2156,468,371,160,406,502,381,1633,1612,11,0,0,0,0,10,200,200,0,0,0,0,0,0,777,91,502,241,48.01%,68,0,21,0,0,0,10,0,83,59,0,0,0,0,0,42,0,42,0.00%,*,4,N/A,N/A,15.38%,0,381,0.00%,26,381,6.82%,1678,1,952,1,1441,814.6,1153
75930,San Augustine County,Sabine County;San Augustine County,2156,468,371,160,406,502,381,1633,1612,11,0,0,0,0,10,200,200,0,0,0,0,0,0,777,91,502,241,48.01%,68,0,21,0,0,0,10,0,83,59,0,0,0,0,0,42,0,42,0.00%,*,4,N/A,N/A,15.38%,0,381,0.00%,26,381,6.82%,1678,1,952,1,1441,814.6,1153
75931,Jasper County,Jasper County;Sabine County,2464,546,277,289,319,277,342,2289,2153,124,8,0,0,0,4,32,32,0,0,0,0,0,0,998,35,277,91,32.85%,48,0,0,0,0,0,3,0,0,0,40,0,0,0,0,74,0,74,0.00%,*,3,N/A,N/A,11.54%,0,342,0.00%,23,342,6.73%,1351,1,824,1,1433,722,1010
75931,Sabine County,Jasper County;Sabine County,2464,546,277,289,319,277,342,2289,2153,124,8,0,0,0,4,32,32,0,0,0,0,0,0,998,35,277,91,32.85%,48,0,0,0,0,0,3,0,0,0,40,0,0,0,0,74,0,74,0.00%,*,3,N/A,N/A,11.54%,0,342,0.00%,23,342,6.73%,1351,1,824,1,1433,722,1010
75932,Newton County,Newton County,1716,254,333,293,307,415,320,1729,1521,161,0,0,0,0,47,9,9,0,0,0,0,0,0,618,20,415,36,8.67%,15,0,0,0,0,21,0,0,0,0,0,0,0,0,0,29,0,29,0.00%,0,0,N/A,N/A,0.00%,0,320,0.00%,18,320,5.62%,404,1,1,1,1206,322.6,311
75933,Jasper County,Jasper County;Newton County,1345,412,317,315,347,244,327,1305,1163,142,0,0,0,0,0,53,23,0,0,0,0,30,0,540,71,244,118,48.36%,48,0,0,20,0,9,30,5,6,0,0,0,0,16,0,65,0,81,0.00%,0,0,N/A,N/A,0.00%,0,327,0.00%,12,327,3.67%,1680,1,1,1,719,480.4,555
75933,Newton County,Jasper County;Newton County,1345,412,317,315,347,244,327,1305,1163,142,0,0,0,0,0,53,23,0,0,0,0,30,0,540,71,244,118,48.36%,48,0,0,20,0,9,30,5,6,0,0,0,0,16,0,65,0,81,0.00%,0,0,N/A,N/A,0.00%,0,327,0.00%,12,327,3.67%,1680,1,1,1,719,480.4,555
75934,Polk County,Polk County,30,8,78,87,0,0,35,21,0,21,0,0,0,0,0,6,6,0,0,0,0,0,0,27,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,35,0.00%,0,35,0.00%,N/A,N/A,1,1,1,1,1
75935,San Augustine County,San Augustine County;Shelby County,14014,3669,3893,3808,3823,3899,3818,11166,8566,2409,9,0,41,0,141,2958,2533,0,15,0,0,362,48,5213,408,3899,1562,40.06%,129,53,340,30,23,154,287,49,328,169,0,0,21,16,77,413,0,527,18.60%,*,5,N/A,N/A,19.23%,1,3818,0.03%,179,3818,4.69%,1521,1530,1090,1660,1005,1361.2,1767
75935,Shelby County,San Augustine County;Shelby County,14014,3669,3893,3808,3823,3899,3818,11166,8566,2409,9,0,41,0,141,2958,2533,0,15,0,0,362,48,5213,408,3899,1562,40.06%,129,53,340,30,23,154,287,49,328,169,0,0,21,16,77,413,0,527,18.60%,*,5,N/A,N/A,19.23%,1,3818,0.03%,179,3818,4.69%,1521,1530,1090,1660,1005,1361.2,1767
75936,Polk County,Polk County;Tyler County,1016,217,216,227,254,225,228,1122,1022,63,0,0,0,0,37,32,32,0,0,0,0,0,0,490,11,225,32,14.22%,2,0,12,0,0,0,3,6,0,8,0,1,0,5,0,17,0,22,0.00%,*,2,N/A,N/A,7.69%,0,228,0.00%,8,228,3.51%,625,1,684,1,684,399,418
75936,Tyler County,Polk County;Tyler County,1016,217,216,227,254,225,228,1122,1022,63,0,0,0,0,37,32,32,0,0,0,0,0,0,490,11,225,32,14.22%,2,0,12,0,0,0,3,6,0,8,0,1,0,5,0,17,0,22,0.00%,*,2,N/A,N/A,7.69%,0,228,0.00%,8,228,3.51%,625,1,684,1,684,399,418
75937,Nacogdoches County,Nacogdoches County,876,246,93,119,227,234,184,857,792,63,0,0,0,0,2,67,25,42,0,0,0,0,0,351,20,234,109,46.58%,4,0,32,34,2,0,8,0,13,7,5,4,0,0,5,19,0,24,20.83%,*,2,N/A,N/A,7.69%,0,184,0.00%,10,184,5.44%,1652,1547,684,1,1163,1009.4,1407
75938,Tyler County,Tyler County,2399,590,606,701,632,551,616,2380,2193,98,38,0,0,0,51,67,56,0,0,0,0,11,0,1016,67,551,68,12.34%,0,10,6,25,8,5,14,0,0,0,0,0,0,0,2,44,0,46,4.35%,*,4,N/A,N/A,15.38%,0,616,0.00%,62,616,10.06%,552,1133,952,1,1715,870.6,1227
75939,Polk County,Polk County,4335,1080,971,968,1081,1237,1067,2893,2092,723,0,0,0,0,78,1139,908,13,0,0,0,129,89,1437,159,1237,224,18.11%,31,0,55,5,3,11,27,0,44,32,16,0,0,22,13,166,0,201,6.47%,*,4,N/A,N/A,15.38%,0,1067,0.00%,64,1067,6.00%,790,1252,952,1,1294,857.8,1205
75941,Angelina County,Angelina County,10381,2498,2561,2879,2769,2776,2697,6839,5389,1376,0,13,0,19,42,3549,2901,62,0,0,0,475,111,2849,240,2776,761,27.41%,167,9,99,9,11,0,158,39,241,15,0,13,4,0,28,337,10,369,8.67%,*,7,N/A,N/A,26.92%,0,2697,0.00%,111,2697,4.12%,1180,1356,1308,1,853,939.6,1315
75942,Tyler County,Tyler County,207,31,0,0,70,67,34,289,58,231,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,67,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,16,0.00%,*,2,N/A,N/A,7.69%,0,34,0.00%,1,34,2.98%,1,1,684,1,554,248.2,218
75943,Nacogdoches County,Nacogdoches County,1250,323,314,220,268,242,273,1256,1182,49,0,2,0,0,23,49,35,0,0,0,0,7,7,509,15,242,44,18.18%,8,0,5,0,0,0,4,0,11,0,4,12,0,0,0,14,85,14,0.00%,0,0,N/A,N/A,0.00%,0,273,0.00%,17,273,6.22%,791,1,1,1,1345,427.8,464
75944,Nacogdoches County,Nacogdoches County,1566,267,222,247,312,390,288,1267,1234,0,0,0,0,0,33,21,21,0,0,0,0,0,0,484,23,390,134,34.36%,22,0,35,0,0,0,13,0,38,21,0,5,0,0,12,17,1,29,41.38%,*,1,N/A,N/A,3.85%,0,288,0.00%,10,288,3.48%,1382,1591,467,1,674,823,1161
75946,Nacogdoches County,Nacogdoches County;Rusk County,3253,839,767,874,790,681,790,3238,2370,736,0,31,0,0,101,236,210,0,0,0,0,26,0,1459,114,681,154,22.61%,60,27,15,6,0,0,21,0,2,19,4,0,0,0,0,70,0,70,0.00%,*,6,N/A,N/A,23.08%,0,790,0.00%,51,790,6.45%,975,1,1209,1,1380,713.2,993
75946,Rusk County,Nacogdoches County;Rusk County,3253,839,767,874,790,681,790,3238,2370,736,0,31,0,0,101,236,210,0,0,0,0,26,0,1459,114,681,154,22.61%,60,27,15,6,0,0,21,0,2,19,4,0,0,0,0,70,0,70,0.00%,*,6,N/A,N/A,23.08%,0,790,0.00%,51,790,6.45%,975,1,1209,1,1380,713.2,993
75948,Newton County,Newton County;Sabine County,5978,1063,938,1069,1198,1082,1070,6042,5348,638,0,25,0,0,31,146,121,0,0,0,0,25,0,2515,239,1082,565,52.22%,12,22,105,89,0,27,108,4,32,66,48,52,0,0,0,163,32,163,0.00%,*,4,N/A,N/A,15.38%,0,1070,0.00%,63,1070,5.89%,1718,1,952,1,1256,785.6,1104
75948,Sabine County,Newton County;Sabine County,5978,1063,938,1069,1198,1082,1070,6042,5348,638,0,25,0,0,31,146,121,0,0,0,0,25,0,2515,239,1082,565,52.22%,12,22,105,89,0,27,108,4,32,66,48,52,0,0,0,163,32,163,0.00%,*,4,N/A,N/A,15.38%,0,1070,0.00%,63,1070,5.89%,1718,1,952,1,1256,785.6,1104
75949,Angelina County,Angelina County,7203,2069,2083,2139,1944,1971,2041,6732,6541,164,5,0,0,0,22,398,226,0,167,0,0,5,0,2868,214,1971,532,26.99%,62,14,133,70,44,0,30,0,89,20,15,55,0,0,0,346,0,346,0.00%,13,6,N/A,N/A,23.08%,1,2041,0.05%,138,2041,6.76%,1158,1,1209,1779,1437,1116.8,1536
75951,Jasper County,Jasper County;Newton County,16180,4098,4388,4179,4064,4389,4224,14436,9255,4758,135,82,0,44,162,1703,1384,0,0,0,0,279,40,5824,532,4389,1373,31.28%,273,6,231,99,0,48,184,100,279,57,10,86,0,8,41,327,16,376,10.90%,27,7,N/A,N/A,26.92%,3,4224,0.07%,232,4224,5.49%,1300,1426,1308,1832,1173,1407.8,1809
75951,Newton County,Jasper County;Newton County,16180,4098,4388,4179,4064,4389,4224,14436,9255,4758,135,82,0,44,162,1703,1384,0,0,0,0,279,40,5824,532,4389,1373,31.28%,273,6,231,99,0,48,184,100,279,57,10,86,0,8,41,327,16,376,10.90%,27,7,N/A,N/A,26.92%,3,4224,0.07%,232,4224,5.49%,1300,1426,1308,1832,1173,1407.8,1809
75954,Panola County,Panola County;Shelby County,3256,870,723,904,841,879,843,2791,2594,189,8,0,0,0,0,186,186,0,0,0,0,0,0,1120,61,879,259,29.47%,32,10,68,11,0,0,52,0,64,8,0,14,0,0,0,132,0,132,0.00%,0,0,N/A,N/A,0.00%,0,843,0.00%,49,843,5.81%,1253,1,1,1,1238,498.8,597
75954,Shelby County,Panola County;Shelby County,3256,870,723,904,841,879,843,2791,2594,189,8,0,0,0,0,186,186,0,0,0,0,0,0,1120,61,879,259,29.47%,32,10,68,11,0,0,52,0,64,8,0,14,0,0,0,132,0,132,0.00%,0,0,N/A,N/A,0.00%,0,843,0.00%,49,843,5.81%,1253,1,1,1,1238,498.8,597
75956,Jasper County,Jasper County;Newton County,7005,1839,2092,2067,1935,1746,1936,6940,5966,886,26,0,0,0,62,341,177,21,0,0,0,143,0,2730,245,1746,431,24.68%,15,0,66,48,0,10,82,0,175,35,0,0,0,17,7,230,0,254,2.76%,*,4,N/A,N/A,15.38%,0,1936,0.00%,126,1936,6.51%,1063,1013,952,1,1392,884.2,1247
